Epoch: 177, Loss: 5.8787, Acc: 0.1648, Top-5: 0.3643, Masked-5: 0.4253, Top-10: 0.4478, Masked-10: 0.5908
Epoch: 178, Loss: 5.9216, Acc: 0.1606, Top-5: 0.3604, Masked-5: 0.4255, Top-10: 0.4425, Masked-10: 0.5909
Epoch: 179, Loss: 5.8546, Acc: 0.1653, Top-5: 0.3677, Masked-5: 0.4258, Top-10: 0.4540, Masked-10: 0.5911
Epoch: 180, Loss: 5.8809, Acc: 0.1643, Top-5: 0.3662, Masked-5: 0.4260, Top-10: 0.4484, Masked-10: 0.5913
Epoch: 181, Loss: 5.8642, Acc: 0.1651, Top-5: 0.3646, Masked-5: 0.4263, Top-10: 0.4482, Masked-10: 0.5915
Epoch: 182, Loss: 5.8170, Acc: 0.1699, Top-5: 0.3734, Masked-5: 0.4265, Top-10: 0.4585, Masked-10: 0.5916
Epoch: 183, Loss: 5.8547, Acc: 0.1685, Top-5: 0.3699, Masked-5: 0.4268, Top-10: 0.4506, Masked-10: 0.5918
Epoch: 184, Loss: 5.8297, Acc: 0.1675, Top-5: 0.3713, Masked-5: 0.4270, Top-10: 0.4554, Masked-10: 0.5919
Epoch: 185, Loss: 5.8745, Acc: 0.1653, Top-5: 0.3669, Masked-5: 0.4272, Top-10: 0.4477, Masked-10: 0.5921
Epoch: 186, Loss: 5.8537, Acc: 0.1690, Top-5: 0.3689, Masked-5: 0.4274, Top-10: 0.4519, Masked-10: 0.5922
Epoch: 187, Loss: 5.8884, Acc: 0.1668, Top-5: 0.3634, Masked-5: 0.4276, Top-10: 0.4446, Masked-10: 0.5923
Epoch: 188, Loss: 5.8355, Acc: 0.1718, Top-5: 0.3718, Masked-5: 0.4278, Top-10: 0.4527, Masked-10: 0.5925
Epoch: 189, Loss: 5.8535, Acc: 0.1674, Top-5: 0.3650, Masked-5: 0.4280, Top-10: 0.4503, Masked-10: 0.5926
